,Time,Section,Index,Line,Word,Misspelled,Triggered,time
666,2021-12-31T18:29:54.9491225-05:00,1,147,17,doshmanxy,True,False,2021-12-31 18:29:54.949122
669,2021-12-31T18:29:55.5301220-05:00,1,147,17,doshmanxy,True,False,2021-12-31 18:29:55.530122
1373,2021-12-31T18:33:49.4147035-05:00,1,643,81,pretconfexz,True,False,2021-12-31 18:33:49.414703
1376,2021-12-31T18:33:50.3647984-05:00,1,643,81,pretconfexz,True,False,2021-12-31 18:33:50.364798
1587,2021-12-31T18:34:51.1173292-05:00,1,773,98,emonfulxx,True,False,2021-12-31 18:34:51.117329
1942,2021-12-31T18:36:36.4493317-05:00,1,1001,127,zxembling,True,False,2021-12-31 18:36:36.449331
2589,2021-12-31T18:39:57.1264933-05:00,1,1438,183,xyztgb,True,False,2021-12-31 18:39:57.126493
2591,2021-12-31T18:39:58.5904924-05:00,1,1438,183,xyztgb,True,False,2021-12-31 18:39:58.590492
3085,2021-12-31T18:42:26.3661014-05:00,1,1762,224,grashxyzli.,True,False,2021-12-31 18:42:26.366101
3195,2021-12-31T18:43:01.1269867-05:00,1,1839,233,xpyonenk,True,False,2021-12-31 18:43:01.126986
3197,2021-12-31T18:43:01.7519860-05:00,1,1839,233,xpyonenk,True,False,2021-12-31 18:43:01.751986
